example_id                                         | status | run_time        |
./spec/moxml/processing_instruction_spec.rb[1:4:1] | failed | 0.0001 seconds  |
./spec/moxml/processing_instruction_spec.rb[1:4:2] | failed | 0.00037 seconds |
./spec/moxml/processing_instruction_spec.rb[1:5:1] | passed | 0.0001 seconds  |
./spec/moxml/processing_instruction_spec.rb[1:5:2] | passed | 0.00009 seconds |
./spec/moxml/processing_instruction_spec.rb[1:5:3] | passed | 0.00015 seconds |
./spec/moxml/processing_instruction_spec.rb[1:6:1] | failed | 0.00012 seconds |
./spec/moxml/processing_instruction_spec.rb[1:6:2] | failed | 0.0001 seconds  |
./spec/moxml/text_spec.rb[1:1]                     | passed | 0.00009 seconds |
./spec/moxml/text_spec.rb[1:2:1]                   | passed | 0.00009 seconds |
./spec/moxml/text_spec.rb[1:2:2]                   | passed | 0.00008 seconds |
./spec/moxml/text_spec.rb[1:2:3]                   | passed | 0.00009 seconds |
./spec/moxml/text_spec.rb[1:2:4]                   | passed | 0.00008 seconds |
./spec/moxml/text_spec.rb[1:3:1]                   | failed | 0.00012 seconds |
./spec/moxml/text_spec.rb[1:3:2]                   | passed | 0.00009 seconds |
./spec/moxml/text_spec.rb[1:4:1]                   | passed | 0.00009 seconds |
./spec/moxml/text_spec.rb[1:4:2]                   | passed | 0.00009 seconds |
./spec/moxml/text_spec.rb[1:4:3]                   | passed | 0.00009 seconds |
./spec/moxml_spec.rb[1:1]                          | passed | 0.00002 seconds |
./spec/moxml_spec.rb[1:2:1]                        | passed | 0.00008 seconds |
./spec/moxml_spec.rb[1:2:2]                        | passed | 0.00008 seconds |
./spec/moxml_spec.rb[1:2:3]                        | passed | 0.00004 seconds |
